u (cm/s),C_d
35.99962766,0.831644781
36.13466691,0.861925409
29.44907766,0.837302669
29.98356865,0.831280539
29.84920393,0.816136178
30.38369492,0.810114048
30.91845572,0.810146425
29.44772862,0.807030135
29.84812469,0.791918151
28.6450478,0.794872556
27.57552619,0.794807802
27.57498658,0.782698788
26.50479045,0.767497767
26.90626577,0.77660381
27.17324145,0.767538239
27.57431206,0.767562521
28.24289796,0.770630246
28.64423837,0.776709036
29.17899917,0.776741413
29.58020468,0.779792949
30.24838587,0.773778913
30.24892549,0.785887927
30.78328158,0.776838544
30.6502659,0.791966716
31.45213729,0.785960775
31.05120159,0.788963746
31.31804238,0.776870921
31.85307299,0.782957805
32.2544134,0.789036594
32.5217938,0.789052783
32.38864321,0.801153702
32.12126281,0.801137513
32.25535773,0.810227368
32.92380873,0.810267839
33.85990994,0.816379006
33.59279935,0.822417324
34.79560644,0.813408412
34.39426603,0.807329623
33.72554522,0.801234645
33.32420481,0.795155855
33.72487069,0.786098378
34.25922678,0.777048995
34.65975777,0.764964264
34.39170284,0.749811808
34.2599013,0.792185261
34.7943923,0.786163132
35.1954629,0.786187415
35.86431861,0.795309646
36.2651194,0.789279422
36.39921432,0.798369276
36.7998802,0.789311799
36.93384021,0.7953744
38.13678221,0.789392742
36.13048487,0.768080554
35.86323938,0.771091619
33.32312557,0.770937828
32.78849967,0.773932704
31.98595376,0.764802379
31.71843846,0.761758937
31.45065334,0.752660988
31.18340785,0.755672053
30.91616235,0.758683118
30.38086193,0.746541727
30.11307682,0.737443779
29.57926035,0.758602175
29.31187995,0.758585987
27.97470813,0.752450537
27.70651831,0.734270829
28.2408744,0.725221445
29.04369012,0.740406278
28.90973011,0.734343677
29.1768407,0.728305359
29.71106189,0.716228722
30.51333799,0.719304541
32.65413495,0.758788343
33.18862595,0.752766213
33.58915693,0.740681483
33.72217261,0.72555331
32.52004004,0.749698489
32.65332553,0.740624823
32.51909571,0.728507715
31.98460472,0.734529845
31.71735922,0.73754091
30.91535292,0.740519598
30.9146784,0.725383331
31.31547919,0.719353107
31.44903449,0.716333948
31.58178036,0.695151268
30.64621877,0.701149115
30.37897327,0.70416018
31.71641489,0.716350136
31.85077961,0.731494497
31.58326431,0.728451055
32.25104079,0.71335526
31.98339058,0.707284565
32.51774667,0.698235181
32.38365175,0.689145327
32.51761176,0.695207928
32.91935688,0.710368478
32.9197616,0.719450238
33.4546573,0.722509868
33.32110201,0.725529027
33.45384788,0.704346348
33.05250747,0.698267558
32.65062744,0.680079755
32.78404783,0.674033343
32.91746822,0.66798693
33.18444391,0.658921359
33.71974433,0.671062749
33.72001414,0.677117256
33.58672865,0.686190922
33.72068866,0.692253523
33.85491848,0.704370631
34.1228385,0.716495833
34.52444871,0.728629129
34.92578912,0.734707919
35.19343933,0.740778614
35.46122445,0.749876563
35.72873975,0.752920004
36.66484096,0.759031171
