Shields stress,slope (m/m),median grain size (cm),flow depth (cm),density (g/cm3),Re (reported),Re (calculated),Flow velocity(m/s),phi,Incipient Motion
0.064939072,0.0141,0.565,4.293577982,2.65,435.4137959,435.1918159,nan,nan,None
0.05995173,0.0115,0.565,4.86,2.65,418.3598574,418.1465717,nan,nan,None
0.066185036,0.0157,0.565,3.93,2.65,439.5710203,439.3469209,nan,nan,None
0.060263179,0.0083,0.715,8.306153846,2.6,588.0030477,587.7032755,nan,nan,None
0.06184643,0.0141,0.715,5.017894737,2.6,595.6770596,595.3733752,nan,nan,None
0.066243429,0.0238,0.715,3.184137931,2.6,616.4884723,616.1741779,nan,nan,None
0.062218165,0.0115,0.715,6.189354839,2.6,597.4645701,597.1599743,nan,nan,None
0.06461412,0.0141,0.9,6.598888889,2.6,859.848578,859.4102152,nan,nan,None
0.061436012,0.0115,0.9,7.692857143,2.6,838.4357099,838.0082637,nan,nan,None
0.066888732,0.0157,0.9,6.135017422,2.6,874.8523032,874.4062913,nan,nan,None
0.062011123,0.0141,1.2,8.444067797,2.6,1296.884088,1296.222919,nan,nan,None
0.060131138,0.0115,1.2,10.03928571,2.6,1277.074041,1276.422971,nan,nan,None
0.064399555,0.0287,1.2,4.308262911,2.6,1321.623637,1320.949854,nan,nan,None
0.062323085,0.0178,1.2,6.722490119,2.6,1300.142147,1299.479316,nan,nan,None
0.028,5.41E-03,0.26,2.17,2.61,88,88.1858346,nan,2.51,Reference
0.045,2.90E-03,0.2,0.87,1.28,30,31.43777855,nan,0.13,Reference
0.044,2.34E-03,0.2,1.05,1.28,33,31.03986598,nan,0.13,Reference
0.045,2.02E-03,0.2,1.25,1.28,35,31.42992205,nan,0.13,Reference
0.297,1.00E-02,0.0305,1.52,2.69,12,11.7942749,nan,0.09,Reference
0.262,8.86E-03,0.0375,1.87,2.69,15,15.10685653,nan,0.11,Reference
0.064,2.14E-03,0.062,3.1,2.67,16,15.79969832,nan,0.85,Reference
0.044,2.20E-03,0.092,3.07,2.67,24,23.69273812,nan,0.61,Reference
0.05,9.90E-03,0.795,6.63,2.65,638,637.6091313,nan,0.18,Reference
0.05,1.65E-03,0.25,12.5,2.65,112,112.3957851,nan,0.14,Reference
0.038,1.00E-02,0.64,5.45,2.507,437,467.7257316,nan,0.12,Reference
0.047,2.50E-02,0.64,2.4,2.507,481,490.7594115,nan,0.12,Reference
0.053,5.00E-02,0.64,1.3,2.507,507,510.7985904,nan,0.12,Reference
0.042,1.00E-02,1.2,9.75,2.656,1076,1172.996164,nan,0.21,Reference
0.044,2.50E-02,1.2,3.65,2.656,1096,1134.777511,nan,0.21,Reference
0.052,5.00E-02,1.2,2.05,2.656,1174,1202.696969,nan,0.21,Reference
0.058,7.50E-02,1.2,1.45,2.656,1227,1238.822021,nan,0.21,Reference
0.067,0.1,1.2,1.2,2.656,1297,1301.322404,nan,0.21,Reference
0.083,0.125,1.2,1.5,2.656,1419,1626.653005,nan,0.21,Reference
0.043,2.00E-02,2.25,9.15,2.49,2637,3013.152419,nan,0.08,Reference
0.051,5.00E-02,2.25,3.55,2.49,2841,2967.52738,nan,0.08,Reference
0.057,7.50E-02,2.25,2.5,2.49,2971,3049.974385,nan,0.08,Reference
0.069,0.1,2.25,2.15,2.49,3199,3265.989513,nan,0.08,Reference
0.079,0.15,2.25,1.53,2.49,3320,3374.324932,nan,0.08,Reference
0.098,0.2,2.25,1.3,2.49,3580,3591.552589,nan,0.08,Reference
0.036,5.00E-03,1.15,13.7,2.65,942.708949,942.2283428,nan,0,Reference
0.043,7.50E-03,1.15,11,2.65,1034.56866,1034.041223,nan,0,Reference
0.048,1.00E-02,1.15,9.2,2.65,1092.512105,1091.955127,nan,0,Reference
0.053,1.00E-02,2.22,18.3,2.57,2974.493492,2972.977053,nan,0.34,Reference
0.071,3.00E-02,2.22,8.3,2.57,3469.661856,3467.892974,nan,0.34,Reference
0.082,5.00E-02,2.22,5.7,2.57,3712.016587,3710.124149,nan,0.34,Reference
0.088,7.00E-02,2.22,4.4,2.57,3858.893887,3856.926569,nan,0.34,Reference
0.088,9.00E-02,2.22,3.4,2.57,3846.344605,3844.383685,nan,0.34,Reference
0.049,3.00E-02,4.43,12.7,2.75,8564.474443,8560.108155,nan,0,Reference
0.054,5.00E-02,4.43,8.3,2.75,8938.4513,8933.894352,nan,0,Reference
0.068,7.00E-02,4.43,7.5,2.75,10053.51387,10048.38845,nan,0,Reference
0.065,9.00E-02,4.43,5.6,2.75,9850.391646,9845.369779,nan,0,Reference
0.092,1.95E-02,0.88,6.77,2.629,881,1000.497888,nan,0.42,Reference
0.113,4.97E-02,0.88,3.26,2.629,974,1108.884099,nan,0.42,Reference
0.17,7.75E-02,0.88,3.14,2.629,1194,1359.328907,nan,0.42,Reference
0.079,7.85E-02,3.4,5.57,2.629,6198,7038.150637,nan,0.44,Reference
0.05,1.65E-03,0.042,2.1,2.65,9.1,7.73951859,nan,0.86,Reference
0.047,1.55E-03,0.044,2.2,2.65,7.3,8.046054198,nan,0.59,Reference
0.034,3.93E-03,0.41,5.86,2.65,189,194.7045736,nan,0.54,Reference
0.072,7.13E-04,0.125,20.83,2.65,32,47.68167808,nan,2.8,Reference
0.071,8.10E-03,0.216,3.09,2.63,108,106.9838014,nan,1.43,Reference
0.048,3.96E-03,0.236,4.72,2.65,101,101.0051768,nan,1.05,Reference
0.042,4.85E-03,0.381,5.44,2.65,194,193.7550812,nan,1.65,Reference
0.037,4.27E-03,0.4,5.71,2.65,196,195.6063447,nan,1.29,Reference
0.03,1.98E-03,0.183,4.57,2.65,61,54.49476985,nan,0.53,Reference
0.036,1.78E-03,0.183,6.1,2.65,67,59.72867697,nan,1.06,Reference
0.023,7.59E-04,0.067,3.35,2.65,12,10.57623597,nan,0.29,Reference
0.037,3.66E-03,0.528,8.8,2.65,332,296.7609521,nan,0.2,Reference
0.02,5.15E-03,0.53,3.31,2.61,219,216.6660329,nan,2.88,Reference
0.04,5.41E-03,0.03,0.37,2.69,4.2,4.201007879,nan,0.09,Reference
0.052,1.14E-02,0.038,0.29,2.69,6.9,6.847189284,nan,0.11,Reference
0.042,1.21E-02,0.051,0.3,2.69,9.6,9.605861034,nan,0.26,Reference
0.03,1.22E-02,0.079,0.33,2.69,16,15.67136044,nan,0.32,Reference
0.04,1.62E-02,0.317,1.32,2.69,145,145.2239464,nan,0.24,Reference
0.041,1.32E-02,0.494,2.6,2.69,286,286.1137581,nan,0.26,Reference
0.052,9.67E-03,0.494,4.49,2.69,322,322.1844116,nan,0.26,Visual
0.052,1.41E-02,0.494,3.09,2.69,323,322.3474522,nan,0.26,Visual
0.069,1.75E-02,0.494,3.29,2.69,372,370.9808252,nan,0.26,Visual
0.048,1.38E-02,0.494,2.91,2.69,310,309.795363,nan,0.26,Visual
0.058,1.76E-02,0.494,2.74,2.69,341,340.0234502,nan,0.26,Visual
0.046,9.33E-03,0.494,4.12,2.69,304,303.1806544,nan,0.26,Visual
0.047,1.27E-02,0.494,3.09,2.69,308,306.4583783,nan,0.26,Visual
0.062,1.89E-02,0.494,2.74,2.69,352,351.5529267,nan,0.26,Visual
0.053,2.42E-02,0.494,1.83,2.69,326,325.3334366,nan,0.26,Visual
0.032,4.87E-03,0.171,1.9,2.69,52,51.47845983,nan,0.48,Visual
0.057,1.93E-02,0.171,0.85,2.69,69,68.50375678,nan,0.48,Visual
0.049,9.11E-03,0.317,2.88,2.69,160,160.7334546,nan,0.24,Visual
0.049,9.11E-03,0.317,2.88,2.69,161,160.7334546,nan,0.24,Visual
0.06,8.11E-03,0.701,8.76,2.69,587,584.988165,nan,0.22,Visual
0.043,2.19E-03,0.053,1.77,2.7,8.2,10.3370081,nan,0.81,Visual
0.048,1.63E-03,0.053,2.65,2.7,8.7,10.91118506,nan,0.81,Visual
0.039,1.33E-03,0.053,2.65,2.7,7.7,9.8352093,nan,0.81,Visual
0.04,6.80E-04,0.053,5.3,2.7,8,9.960503642,nan,0.81,Visual
0.037,2.52E-03,0.051,1.27,2.7,7.3,9.024858322,nan,0.74,Visual
0.037,1.26E-03,0.051,2.55,2.7,7.1,9.04260634,nan,0.74,Visual
0.034,1.16E-03,0.051,2.55,2.7,7,8.668265827,nan,0.74,Visual
0.03,1.02E-03,0.051,2.55,2.7,6.5,8.142417933,nan,0.74,Visual
0.035,2.38E-03,0.055,1.38,2.7,7.8,9.867423068,nan,0.62,Visual
0.039,1.33E-03,0.055,2.75,2.7,8.2,10.39713867,nan,0.62,Visual
0.038,1.29E-03,0.055,2.75,2.7,7.9,10.26297642,nan,0.62,Visual
0.037,6.29E-04,0.055,5.5,2.7,8,10.12703696,nan,0.62,Visual
0.052,8.58E-04,0.043,4.3,2.65,9.5,8.176347955,nan,0.95,Visual
0.044,1.45E-03,0.043,2.15,2.65,8.8,7.521146213,nan,0.95,Visual
0.052,1.72E-03,0.043,2.15,2.65,9.6,8.176347955,nan,0.95,Visual
0.051,8.42E-04,0.045,4.5,2.65,10,8.668797711,nan,0.66,Visual
